Unique Transaction Identifier,Price,Date of Transaction,Postal Code,Property Type,Old/New,Duration,PAON,SAON,Street,Locality,Town/City,District,County,PPD Category Type,Record Status
{152AB733-8AFF-E651-E063-4704A8C061D9},1595000,2023-12-18,SL2 3TJ,D,N,F,THE COTTAGE,,ALLERDS ROAD,FARNHAM ROYAL,SLOUGH,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B05-E651-E063-4704A8C061D9},417500,2023-12-08,SL2 3NQ,T,N,F,77,,LANGTONS MEADOW,FARNHAM COMMON,SLOUGH,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B06-E651-E063-4704A8C061D9},515000,2023-09-29,SL0 9NJ,S,N,F,44,,CHEQUERS ORCHARD,,IVER,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B09-E651-E063-4704A8C061D9},445000,2023-12-05,MK18 2LU,D,N,F,21A,,ST MARYS ROAD,EAST CLAYDON,BUCKINGHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B0A-E651-E063-4704A8C061D9},325000,2023-11-17,HP15 7PF,S,N,F,3,,CURZON CLOSE,HAZLEMERE,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B0E-E651-E063-4704A8C061D9},257500,2023-11-29,HP21 9UD,T,N,F,3,,EDEN CLOSE,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{152AB733-8B0F-E651-E063-4704A8C061D9},560000,2023-11-16,HP27 9HL,S,N,F,19,,CANNON PLACE,,PRINCES RISBOROUGH,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{1061746E-BC1C-3C34-E063-4804A8C0F9E7},162000,2023-12-18,HP5 1AN,F,N,L,4,,FREEMAN COURT,,CHESHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC1D-3C34-E063-4804A8C0F9E7},815000,2023-06-05,MK17 0NR,O,N,F,WARREN FARM,TUNGSTEN HOUSE,WARREN ROAD,LITTLE HORWOOD,MILTON KEYNES,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC1E-3C34-E063-4804A8C0F9E7},1000,2023-12-11,,O,N,F,PLOTS C145-C148,,SPURLANDS END ROAD,GREAT KINGSHILL,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC27-3C34-E063-4804A8C0F9E7},433000,2023-11-03,MK17 0EF,O,N,F,ELM FARM BUILDINGS,,STRATFORD ROAD,NASH,MILTON KEYNES,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
{1061746E-BC2C-3C34-E063-4804A8C0F9E7},820000,2023-12-05,MK18 3AL,O,N,F,BARN STUDIO,,HORN STREET,WINSLOW,BUCKINGHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,B,A
